"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"阿鲁巴","ABW","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405463417.11746","487602457.746416","596423607.114715","695304363.031101","764887117.194486","872138730.754587","958463200.205402","1082979707.65566","1245688253.10539","1320474860.3352","1379960893.85475","1531944134.07821","1665100558.65922","1722798882.68156","1873452513.96648","1920111731.84358","1941340782.12291","2021229050.27933","2228491620.11173","2330726256.98324","2424581005.58659","2615083798.88268","2745251396.64804","2498882681.56425","2390502793.29609","2549720670.39106","2534636871.50838","2581564245.81006","2649720670.39106","2691620111.73184","2646927374.30168","2700558659.21788","","",
"阿富汗","AFG","GDP（现价美元）","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","","4055176933.36905","4515563413.82564","5226775163.30205","6209140044.00519","6971286731.72065","9747886104.53251","10109218067.7904","12439087076.7667","15856574731.4411","17804280538.1102","20001615788.6719","20561054090.3995","20484873230.2111","19907111418.9938","19362642266.6484","20191764940.1602","19362969582.3643","",
"安哥拉","AGO","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5930503400.83228","5550483035.90815","5550483035.90815","5784341596.36339","6131475065.23832","7553560459.10428","7072063345.44786","8083872012.47326","8769250549.73596","10201099039.5655","11228764963.1618","10603784541.197","8307810973.58848","5768720421.61367","4438321017.39068","5538749259.94714","7526446605.51712","7648377412.83277","6506229607.29432","6152922942.98032","9129594818.60749","8936063723.20121","15285594828.418","17812705294.325","23552052407.5488","36970918699.2523","52381006892.038","65266452081.386","88538611205.1433","70307163678.238","83799496611.2004","111789686464.441","128052853643.106","136709862831.194","145712200312.505","116193649124.151","101123851090.455","122123822333.591","105750987618.63","",
"阿尔巴尼亚","ALB","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1857338011.85488","1897050133.42015","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880951520.3972","2392764853.42107","3199642579.96974","2258515610.08862","2545967253.2416","3212119044.17089","3480355188.60063","3922099470.97313","4348070165.19261","5611492282.86582","7184681398.5698","8052075642.10781","8896073938.31407","10677321490.3807","12881353507.8539","12044208085.864","11926953213.6961","12890866742.6533","12319784886.2038","12776280961.155","13228247844.1247","11386931489.7968","11861352704.87","13025062195.7906","15058879128.6536","",
"安道尔共和国","AND","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","78619206.0850963","89409820.3592814","113408231.944085","150820102.798401","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1434429703.33518","1496912751.67785","1733116883.11688","2398645598.19413","2935659299.72684","3255789080.96008","3543256805.92147","4016972351.49192","4007353156.58415","3660530702.97305","3355695364.23841","3442062830.13622","3164615186.94591","3281585236.32501","3350736367.25488","2811489408.89431","2877311946.90265","3013387423.93509","3236543909.34844","",
"阿拉伯联盟国家","ARB","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","25800420222.6921","28342519494.0643","31922432897.0609","36946286419.8104","44066761651.0649","55776586530.5686","105527467635.091","116892827867.675","145248809080.621","167282389074.525","183716163415.297","248663012539.485","337194058933.763","347641502767.773","326100368169.541","306342010686.603","310748337925.361","307598042505.916","293623508043.854","313040206369.594","307889062413.156","322859532931.739","446901684420.875","440649432072.993","471671634103.682","477133962042.005","487661715245.43","523928956600.448","578398811758.025","613432360792.61","591681589857.127","644050661585.064","735188056517.167","723449066469.795","729231446595.318","823341300650.195","964327345387.531","1185142919458.18","1404653310998.68","1638213879955.77","2078823967037.02","1796358749934.16","2110062113014.68","2501833645178.18","2787005632800.05","2867265277713.17","2908360229229.29","2557989964900.41","2506119300749.31","2588873647194.9","2781589257561.09","",
"阿拉伯联合酋长国","ARE","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617018379.85","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787338325.391","350666031313.819","374590605854.323","390107556160.654","403137100068.073","358135057862.492","357045064669.843","382575085091.899","414178897208.986","",
"阿根廷","ARG","GDP（现价美元）","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499890.7722","56781000100.9448","58082870156.2634","69252328953.3789","76961923741.9478","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557531376217.967","642695864756.35","518475134084.357","",
"亚美尼亚","ARM","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577456.12712","1201313201.01272","1315158670.28285","1468317350.06841","1596968913.27897","1639492424.36472","1893726437.26462","1845482181.44801","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469950.09033","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79782","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7543","10553337672.9872","10546135160.031","11527458565.7334","12433089919.0459","",
"美属萨摩亚","ASM","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514000000","527000000","512000000","503000000","496000000","520000000","563000000","678000000","576000000","574000000","644000000","641000000","643000000","661000000","653000000","634000000","","",
